,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,GCGC,Jupyter Notebook
36,homebrew-apple,Ruby
37,HomeKitADK,C
38,indexstore-db,C++
39,learning-compressible-subspaces,Python
40,learning-subspaces,Python
41,llvm-monorepo-root,
42,llvm-project,
43,llvm-project-v5,C++
44,llvm-project-v5-split,C++
45,MaterialX,
46,ml-afv,Python
47,ml-all-pairs,Python
48,ml-ane-transformers,Python
49,ml-aspanformer,Python
50,ml-autofocusformer,Python
51,ml-autofocusformer-segmentation,Python
52,ml-batchquant,Python
53,ml-calibration,Jupyter Notebook
54,ml-capsules-inverted-attention-routing,Python
55,ml-cifar-10-faster,Python
56,ml-code-switched-speech-translation,Python
57,ml-codeswitching-translations,
58,ml-collegial-ensembles,Python
59,ml-core,Python
60,ml-covid-mobility,R
61,ml-cread,Python
62,ml-cvnets,Python
63,ml-cvpr2019-swd,Python
64,ml-dab,Python
65,ml-data-parameters,Python
66,ml-destseg,Python
67,ml-dms-dataset,Python
68,ml-dprecs,Jupyter Notebook
69,ml-dr,Python
70,ml-duet,Python
71,ml-entropy-reconstruction,Python
72,ml-envmapnet,Python
73,ml-equivariant-neural-rendering,Jupyter Notebook
74,ml-facelit,Python
75,ml-fastvit,Python
76,ml-fct,Python
77,ml-ferret,
78,ml-finerecon,Python
79,ml-flair,Jupyter Notebook
80,ml-gaudi,
81,ml-gmpi,Python
82,ml-gsn,Python
83,ml-heart-rate-models,Python
84,ml-hierarchical-confusion-matrix,TypeScript
85,ml-hypersim,Python
86,ml-interspeech2022-phi_rtn,
87,ml-knowledge-conflicts,Python
88,ml-live-pose,
89,ml-mkqa,Python
90,ml-mobileone,Swift
91,ml-multiple-futures-prediction,Python
92,ml-ncg,Python
93,ml-neilf,Python
94,ml-neilfpp,Python
95,ml-neuman,Python
96,ml-no-token-left-behind,Jupyter Notebook
97,ml-pointconvformer,Python
98,ml-pointersect,Python
99,ml-probabilistic-attention,Python
100,ml-projunit,Python
101,ml-qrecc,Python
102,ml-quant,Python
103,ml-robust-expert-augmentations,Python
104,ml-sad,Python
105,ml-selfcond,Python
106,ml-shuffling-amplification,Python
107,ml-spatial-librispeech,
108,ml-spin,Python
109,ml-stable-diffusion,Python
110,ml-stuttering-events-dataset,Python
111,ml-symphony,Svelte
112,ml-tract,Python
113,ml-transcript-translation-consistency-ratings,
114,ml-translate-vis,TypeScript
115,ml-tree-dst,Python
116,ml-tune-mode-convbn,Python
117,ml-upscale,Jupyter Notebook
118,ml-uwac,Python
119,ml-vfi-smiff,Python
120,openjdk,Java
121,password-manager-resources,JavaScript
122,sample-backyard-birds,Swift
123,sample-cloudkit-coredatasync,Swift
124,sample-cloudkit-encryption,Swift
125,sample-cloudkit-privatedb,Swift
126,sample-cloudkit-privatedb-sync,Swift
127,sample-cloudkit-queries,Swift
128,sample-cloudkit-sharing,Swift
129,sample-cloudkit-sync-engine,Swift
130,sample-cloudkit-tooling,JavaScript
131,sample-cloudkit-zonesharing,Swift
132,sample-food-truck,Swift
133,servicetalk,Java
134,sourcekit-lsp,Swift
135,swift,C++
136,swift-3-api-guidelines-review,Swift
137,swift-algorithms,Swift
138,swift-argument-parser,Swift
139,swift-asn1,Swift
140,swift-async-algorithms,Swift
141,swift-async-dns-resolver,Swift
142,swift-atomics,Swift
143,swift-book,Markdown
144,swift-cassandra-client,Swift
145,swift-certificates,Swift
146,swift-clang,C++
147,swift-clang-tools-extra,C++
148,swift-cluster-membership,Swift
149,swift-cmake-examples,CMake
150,swift-cmark,C
151,swift-collections,Swift
152,swift-collections-benchmark,Swift
153,swift-community-hosted-continuous-integration,
154,swift-compiler-rt,C
155,swift-corelibs-foundation,Swift
156,swift-corelibs-libdispatch,C
157,swift-corelibs-xctest,Swift
158,swift-crypto,C
159,swift-distributed-actors,Swift
160,swift-distributed-tracing,Swift
161,swift-distributed-tracing-baggage-core,Swift
162,swift-distributed-tracing-extras,Swift
163,swift-docc,Swift
164,swift-docc-plugin,Swift
165,swift-docc-render,JavaScript
166,swift-docc-render-artifact,
167,swift-docc-symbolkit,Swift
168,swift-docker,Dockerfile
169,swift-driver,Swift
170,swift-evolution,Markdown
171,swift-evolution-staging,Swift
172,swift-experimental-string-processing,Swift
173,swift-format,Swift
174,swift-foundation,Swift
175,swift-foundation-icu,C
176,swift-getting-started-cli,Swift
177,swift-getting-started-package-library,Swift
178,swift-http-structured-headers,Swift
179,swift-http-types,Swift
180,swift-installer-scripts,CMake
181,swift-integration-tests,Python
182,swift-internals,HTML
183,swift-issues,
184,swift-libcxx,C++
185,swift-llbuild,C++
186,swift-llbuild2,Swift
187,swift-lldb,C++
188,swift-llvm,LLVM
189,swift-llvm-bindings,Swift
190,swift-lmdb,C
191,swift-log,Swift
192,swift-markdown,Swift
193,swift-metrics,Swift
194,swift-metrics-extras,Swift
195,swift-nio,Swift
196,swift-nio-examples,Swift
197,swift-nio-extras,Swift
198,swift-nio-http2,Swift
199,swift-nio-imap,Swift
200,swift-nio-nghttp2-support,Swift
201,swift-nio-ssh,Swift
202,swift-nio-ssl,C
203,swift-nio-ssl-support,Swift
204,swift-nio-transport-services,Swift
205,swift-nio-zlib-support,Swift
206,swift-numerics,Swift
207,swift-openapi-generator,Swift
208,swift-openapi-runtime,Swift
209,swift-openapi-urlsession,Swift
210,swift-org-website,SCSS
211,swift-package-collection-generator,Swift
212,swift-package-manager,Swift
213,swift-package-registry-compatibility-test-suite,Swift
214,swift-protobuf,Swift
215,swift-protobuf-plugin,
216,swift-protobuf-test-conformance,
217,swift-sample-distributed-actors-transport,Swift
218,swift-sdk-generator,Swift
219,swift-se0270-range-set,Swift
220,swift-se0288-is-power,Swift
221,swift-service-context,Swift
222,swift-service-discovery,Swift
223,swift-source-compat-suite,Python
224,swift-standard-library-preview,Swift
225,swift-statsd-client,Swift
226,swift-stress-tester,Swift
227,swift-syntax,Swift
228,swift-system,Swift
229,swift-testing,Swift
230,swift-tools-support-async,Swift
231,swift-tools-support-core,Swift
232,swift-xcode-playground-support,Swift
233,swiftpm-on-llbuild2,Swift
234,tensorflow_macos,Shell
235,turicreate,C++
236,unityplugins,C#
237,VideoFlashingReduction,Mathematica
238,vqg-multimodal-assistant,Python
